t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
1,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
2,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
3,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
4,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
5,0.0091,49412069392.91827,34317635.89350715,10196577962.2897,-54672021.40634574,49801386644.59975,19109693767.755966,9.99993637928408e-09,1.1091014765128804e-11,-5.554633749351742e-11,4.198811433263893e-13,494.13345588151407,-0.8109872366312009,-0.8098183900920477,101.79102717787929,1.7030285669367699e-12,5.219971059811417e-12,2.63257330854226e-13,9.987044862531436e-09,102.1150453708962,-0.418349496675369,-0.4199540433446915,497.3732382142754,-5.5855643594078925e-11,1.0012945700090245e-08,1.0033957947119125e-08,-8.276281042367742e-12,-1.423697094077341,383.0921826717224,383.0843666933372,-1.532932864973903
6,0.0302,48550921597.64456,53679948.66546719,10180743295.697428,-51775602.80840262,49768383257.29682,18990440466.931736,9.978187362893166e-09,1.0024960181003487e-11,-3.8359676568240935e-11,-7.458390963520113e-14,484.4561161201903,-0.3095454064094541,-0.3071442552046051,101.44774265247572,6.51232710638879e-13,5.212607509927492e-12,4.199002433099639e-13,9.9874999902405e-09,101.8463149004352,-0.4018004714696243,-0.4024688155218403,497.0619194937783,-1.974908338234478e-11,1.0011643320580691e-08,1.003398720497878e-08,-2.402072330452788e-11,0.4155054857709994,380.67832723754447,380.6684675775605,-1.97860558340148
7,0.0677,47067416331.00339,-23109966.53403356,10080652635.62304,-40746278.20481669,49667155360.59614,18837500143.74139,9.979630119607494e-09,-9.61613610384306e-13,4.681703129146443e-11,-3.990748857075082e-12,469.7275254065834,1.0429749022030574,1.045504014071402,100.4847113917205,1.1779830823272634e-12,5.823059993137198e-12,-1.0936180444772489e-12,9.98766117372503e-09,100.6729299232706,-0.4897709643326786,-0.490497995715804,496.02042370319856,-4.2033065434741445e-11,9.997422194955838e-09,1.0073502158410229e-08,-2.318514510719248e-11,-2.1775327841938794,378.0893056265192,378.0798964594302,-1.1895826161158038
8,0.1078,45514022569.4342,-12562703.125176026,9923650769.329935,-51017338.29200935,49521724724.99702,18498600624.80828,9.99970753322396e-09,3.0901194641632706e-12,5.62182019317313e-13,-4.9277352832212405e-12,455.123669569339,0.0120800217776426,0.0154295937691895,98.97664423766004,-3.2702668873657153e-13,5.456549640861807e-12,1.0526951991572865e-12,9.987131594483297e-09,99.1253415648542,-0.3206582567206303,-0.3213126858849752,494.5318577448014,-3.46757003189685e-13,1.0007844836359196e-08,1.0000489744096162e-08,-1.4635846340014762e-11,-0.2664716785283655,370.1307813872527,370.1208933264895,-1.4830783134653682
9,0.1544,43673147416.925575,36484254.95643843,9681437997.98878,-62182450.69867013,49288950090.49664,18137367129.44105,9.999830772308992e-09,3.0048720650185774e-12,4.1186979985332683e-13,-4.375780073125421e-12,436.72150260696486,0.4711156882122589,0.4737930647704378,96.60349520870844,-2.673160173858392e-13,5.446683534480455e-12,9.355575675244145e-13,9.987193544033093e-09,96.6946572414944,-0.4263513766227549,-0.4270732264033723,492.2168754847174,2.7132181808708253e-13,1.0008413262941814e-08,1.0000025416429536e-08,-1.5148125257170347e-11,0.6750308198277322,362.90483908649713,362.8954448199626,-1.7068193560566742
