t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
1,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
2,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
3,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
4,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
5,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
6,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
7,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
8,0.0,49687857681.190674,49268018.6674028,10309812264.64012,-49564559.03169949,49687944133.95242,19263864823.191715,1.0000246565433452e-08,9.748671891928377e-14,-4.945611221141298e-13,-1.357129196539024e-13,496.8922646188149,0.4554637518826783,0.4525725166018531,103.10275249929646,1.401646246280597e-13,4.365459591809966e-13,1.8247758389308082e-13,1.0000110350418016e-08,103.09739318027783,-0.4579163215829765,-0.4550271804166621,496.883534878412,-1.891883187524155e-13,9.999819914764948e-09,1.0000021174474e-08,-2.0197988493289765e-13,0.9255355852119116,385.28055144690654,385.2678242716984,-0.9398943938552644
9,0.0014,49611165337.49127,41206555.29720909,10305948653.696953,-51155208.939777695,49683494036.05272,19253267827.93857,1.0000161169081804e-08,6.155502133384391e-14,-4.996057813264466e-13,-1.4013502512770483e-14,496.1192923504488,0.3756675415602412,0.3727770285131889,103.06696953205682,-3.4438280289001474e-14,4.476912550239081e-13,2.456259282746665e-13,1.0000112622431697e-08,103.0524178323263,-0.471091974347019,-0.4682031712629052,496.8403958545708,-4.8938746146807913e-14,9.999932043937058e-09,9.999937205490033e-09,-9.142746011973252e-14,0.7821108803174558,385.0691518326327,385.05642547513634,-0.965803455556903
