t,eps_xx,eps_xy,eps_yy,sig_xx,sig_xy,sig_yy
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.2434734521581915e-10,9.999445710180605e-06,-1.0252043351262203e-10,755.0272307046579,383234.6757493705,-757.2794339335128
2,-1.213511931547753e-10,1.9999437105930145e-05,-1.1163331130314784e-10,1511.9199579190015,766494.7624656996,-1514.180765415812
3,-9.566893046375495e-11,2.999943113101571e-05,-1.0023542348441216e-10,2268.921219151981,1149754.8444525693,-2271.0833340896884
4,-1.2321056303010524e-10,3.999944260790282e-05,-1.1853819662951888e-10,3025.764171890952,1533014.9269879418,-3027.995746182385
5,2.3107222213522443e-12,5.000000049741524e-05,-7.314617825873995e-12,2473.947117001933,1914907.1555251563,-4769.050341040745
6,2.2177829077673825e-13,5.999999984555405e-05,-3.200991789747337e-13,-7426.251769860123,2286018.2634843187,-16538.760683001772
7,1.0472336097541308e-14,6.999999982551392e-05,-3.603979330500912e-13,-22213.921153467243,2651338.858650468,-36395.56358251555
8,4.096802822507989e-14,8.000000011829993e-05,-2.924439927589595e-13,-63816.84964428185,2990603.6225906154,-80681.80337904773
9,-3.0249963295231333e-13,9.000000060759882e-05,9.271839822498862e-13,-121339.58277959308,3318838.640230122,-135977.92031134586
10,2.0820368786584063e-14,0.0001000000000338,-9.183600829651473e-14,-190174.61742514517,3638619.681903774,-200467.09199609747
11,-2.253898828439768e-12,0.0001100000001612,-1.0539979000582346e-12,-275611.4337116473,3942076.0166932778,-274889.77738375927
12,4.4022377085936436e-14,0.0001199999999493,8.098842010108655e-14,-345356.26914004167,4252199.327232141,-353459.6713351917
13,5.617499309564599e-13,0.0001299999992575,8.062812665674696e-13,-449168.8425016992,4525301.105862702,-474133.5839053224
14,4.359214134147545e-13,0.0001399999999788,-7.148510144116884e-14,-576693.8637160369,4781074.656687212,-603877.9010005976
15,2.3054755997257645e-12,0.0001500000020264,2.2069439229534285e-12,-719864.4990754338,5027155.706317045,-748841.4951993112
16,-9.881589065413517e-14,0.0001599999997229,1.943076910623684e-13,-838673.2647571606,5289079.568610301,-868454.2821507961
17,-7.884192533035925e-14,0.0001699999999528,8.476257499625987e-14,-959825.8932542112,5556472.186357369,-983681.0449519068
18,5.65795408586807e-12,0.0001800000038818,-1.6581588127044924e-11,-1100259.9508298456,5806749.164453013,-1121176.8339224274
19,9.421360780788613e-12,0.0001900000115592,1.5059386562943489e-12,-1266456.7387484517,6036177.908621492,-1284081.699258263
20,3.2309063406761345e-13,0.0001999999972288,-8.677169268618916e-13,-1435938.7212697845,6255333.751632257,-1462596.132085226
21,2.4833822897065936e-13,0.0002099999988312,4.177043191624204e-13,-1569174.9597902223,6517360.695536456,-1590128.0789952327
