t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
1,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
2,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
3,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
4,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
5,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
6,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
7,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
8,0.0,49819393766.27954,30454130.557962663,10210917124.80584,-55900089.20092867,49807214012.77654,19119514858.67701,1.0003838202298073e-08,7.581525999839445e-12,-2.1250917537203848e-11,2.2974757751542878e-12,498.3729194124514,-0.5928714214985954,-0.5915325373990764,102.34326535505068,-1.1269127263594797e-12,5.892428577243088e-12,1.156000817432277e-12,9.989784099145715e-09,101.86698768125126,-0.3540609943676624,-0.3556657769850311,497.586951181206,2.445401905168792e-11,1.0019592917517246e-08,9.997496416845273e-09,-4.968881481072607e-12,2.0845584372518617,382.7198311588357,382.71188234891423,-1.3093236699762043
9,0.0012,49807480502.57792,31707576.17180491,10210786450.275448,-56004927.53947621,49806115616.89668,19119010560.05069,1.0003428121411793e-08,7.708577222398905e-12,-2.1157249312755545e-11,3.1699225367558296e-12,498.2335504027515,-0.5772714884320301,-0.5759346187632922,102.3790212543384,-1.1055712986768277e-12,5.795408182310535e-12,1.214693648143185e-12,9.989860328551403e-09,101.86971359351968,-0.3558800602998361,-0.3574845152262202,497.5886967566989,2.48091330518948e-11,1.0019545659610756e-08,9.997414383704132e-09,-5.614381780909605e-12,2.123315356967173,382.7072613501743,382.6993141580574,-1.334883583933615
