t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
30,0.5871,3237833321.2701087,117100696.41044396,-42419455.23527609,238912414.2122931,37335684092.48731,4240032345.658392,1.0000873277171257e-08,1.92085877441322e-13,-5.2501719459623385e-14,-1.502367504116502e-13,32.381172708982795,1.107891831299476,1.1072619196390907,-0.4393618802707155,-1.95630310902739e-13,4.671847151448658e-13,-2.646923217261373e-13,1.0000016077167795e-08,-0.4169348797151176,2.2692067795995388,2.27375477434625,373.3572677707295,3.0582554297709544e-14,9.999576385069308e-09,1.0001736572993744e-08,-7.918659310323903e-13,2.205189256586204,84.81593024416918,84.7966192445841,4.483167868123922
31,0.5902,2705500644.477988,234715602.7101721,82856595.32007036,214553599.7248101,37233563278.24519,4203095950.7063417,1.000076092229602e-08,2.582888748188279e-13,1.9922984946671454e-13,1.7323909832301037e-13,27.05730236760805,2.2199591657289464,2.219612388092014,0.8270208602799279,-4.965535914754237e-13,1.5761022386704637e-13,-2.300323694227752e-13,9.999954532923402e-09,0.8125843964715967,2.013803989541488,2.018264874565374,372.3341185223233,1.2540886849596593e-12,1.0000671469938884e-08,1.0000949628597675e-08,8.142433865738024e-13,4.430447024359149,84.07850225939734,84.05913590666252,4.058194854577771
32,0.5921,2644799126.8585043,225740598.4512196,48328806.36306763,186264889.7254905,36903376223.65022,4193104896.7157454,1.00006724635858e-08,3.720019165746712e-13,1.9262731104594242e-13,1.28752118009065e-13,26.449772141938105,2.1279146458741365,2.1275654190708666,0.4798763777455423,-4.254140405937252e-13,3.3242557763907693e-13,-1.4132131509831748e-13,1.0000120539848216e-08,0.4712451371591353,1.7639963114672552,1.7683074364057207,369.0380897973072,1.0696003119268985e-13,9.999695677862434e-09,1.0001733982721913e-08,-7.20774038109163e-13,4.259105751320947,83.87790518902838,83.85858753523614,3.4999332418244946
33,0.5988,2601252142.688588,223916582.3623545,-25806963.1317729,173943184.90790683,36447956949.93825,4162093537.11096,1.0000573079130226e-08,1.3153901253391574e-13,-2.1070391233734697e-13,8.803143341593353e-14,26.0141169063381,2.1087457061219887,2.108332292833415,-0.256533286629114,-4.56024229431362e-13,5.143829113232587e-13,-1.7007221071245837e-13,9.999539842668609e-09,-0.2757186005380359,1.6287736431525384,1.6328730027114935,364.4629578926817,4.412351570476065e-13,9.99979434451091e-09,1.0001042588145921e-08,1.0001312147856e-12,4.228523959821493,83.25492900082405,83.2358592856976,3.30358744756558
34,0.6028,2521016274.2711844,160354839.197043,-14799255.156295156,191545617.2847408,36347125651.15263,4108779153.9082303,1.0000864325355964e-08,3.0788207797383626e-13,-1.2470562532793228e-13,-1.5288332674862289e-13,25.212414670102167,1.5117275329713482,1.5114267658580165,-0.1560193288482844,3.069697344177327e-14,6.415734445318818e-13,-8.433566538904796e-14,1.0000165621366378e-08,-0.1392081491458846,1.812913596864351,1.8169245623899364,363.47722397952725,4.858777369647721e-13,9.999809625968694e-09,1.0001949360593466e-08,-3.0221677641311777e-13,3.028567307191407,82.19233313827813,82.17354432600328,3.610623662247369
35,0.6071,2503272910.232586,156628343.08554968,-21700456.63047472,206138777.421617,36184324787.76879,4099834537.821785,1.0000541822328352e-08,1.365272719871938e-13,-2.2160315902026419e-13,7.025126531501307e-14,25.034230245039804,1.4805329526706903,1.4802162006691897,-0.2194910068587953,-3.82214903226368e-13,5.048823555905099e-13,-6.867105095724794e-15,1.000007832017453e-08,-0.2279305979090138,1.9379122957657515,1.9420374564756664,361.8461811112594,9.2145809666308e-13,9.999551206854078e-09,1.0001321926238008e-08,5.219185866688856e-13,2.9572630625068093,82.00973356310195,81.99097646368365,3.903936422531225
36,0.6105,2358478442.0926576,75118563.9049011,8930004.552607313,343112045.06786484,35935356078.69214,3969996211.797753,1.0000809324396301e-08,3.126488288946309e-13,-2.833848286148438e-13,-1.225251680796298e-13,23.58664811093001,0.7089536350788054,0.7088432342090317,0.085050370681761,-8.237613745666633e-14,5.424422754536237e-13,3.5201500843698e-13,1.0000064860544872e-08,0.0901481254242313,3.240017915028234,3.2436511252905187,359.3560790694135,-6.261180611038273e-13,1.0000657672205724e-08,1.0000027486616369e-08,5.848085210516926e-13,1.41092785270174,79.4118676231518,79.39400466872867,6.48368964297882
37,0.6152,2234838253.532739,-80177982.611752,-64895568.621833496,272496141.9361938,35730094539.688286,3766388994.7324233,1.00007017309183e-08,5.141991352384579e-13,3.6741752451306643e-13,1.3550941541351276e-13,22.34994290606483,-0.75351186999777,-0.7535607284453476,-0.6439741447449671,3.1827558433379784e-14,9.12711554987313e-13,4.023654194836183e-14,1.0000061574306688e-08,-0.6524902741835188,2.581154109694193,2.584733534114852,357.30301109243294,7.73266252629536e-14,1.0000186871073914e-08,1.000166764472702e-08,-4.891563001872308e-13,-1.5128623755854238,75.34370217556351,75.3261838216763,5.137970975640651
38,0.6188,2192492603.906144,11258541.661330134,-66531991.05324629,255760977.0982484,35605294939.243,3343974080.2355404,1.000047847802308e-08,-2.260288195133713e-13,1.6069297088783597e-13,-1.2512048275051389e-13,21.92596941436417,0.1045186577727771,0.1049615830769317,-0.6671206302791545,2.683686845627125e-14,6.02081270617371e-13,1.6093693686368744e-13,9.999986004570824e-09,-0.6629579256711522,2.42368722054062,2.4269947731225336,356.0524703970312,-3.7152268814779213e-13,9.999902755797532e-09,1.0001770044714989e-08,4.5657649479501325e-14,0.2111496669167937,66.89625744748344,66.8742599318396,4.822755402989387
39,0.6213,2187661499.8473616,15183310.576066306,-74555431.48255174,274769477.5872176,35339731077.18637,3336713115.3294067,1.0000414998918251e-08,1.3478123312476357e-13,3.844290101744449e-13,6.517571583241601e-14,21.87750141321257,0.1406674968994587,0.1410524546480194,-0.745140325102137,9.260050351772625e-14,3.24211572930186e-13,2.963239497872508e-13,9.999973027305798e-09,-0.7428425101393173,2.593926642926942,2.596979160792767,353.3964978288811,-1.0378617083809893e-12,1.0000792292547288e-08,1.0001688609985264e-08,5.615912820721946e-13,0.2822850487470944,66.75360155115995,66.73181609586042,5.191203136580785
40,0.6257,2165008513.62344,29542916.722511508,-77968357.38950577,304228319.63298523,34429724262.22051,3315803446.911084,1.0000213556671774e-08,1.1056806942275021e-13,-5.573412399970459e-13,2.5890098744806897e-13,21.65050526159027,0.2742418150311321,0.2745025184724645,-0.7727225479362556,-2.1361297927902483e-14,7.493209740735487e-13,2.350471272393272e-15,1.0000281514227448e-08,-0.7873135076779844,2.8811723200053154,2.883731781640265,344.3069421996618,-1.5963022005817429e-12,1.00002470314919e-08,1.0000428624220058e-08,9.574315968717804e-14,0.5501379676881457,66.32922467417154,66.30779995324693,5.736289589962048
41,0.6282,2155518335.6864305,47855829.892801866,-91034614.64954016,307591586.7189473,34209946865.53096,3198945855.0612946,1.0000259008181053e-08,1.443346146319027e-13,-4.938078022978096e-13,8.451765225709148e-14,21.55575290289018,0.4513335820883715,0.4515847277797892,-0.9110568500043406,-2.4369121049488998e-14,5.475073020520513e-13,2.2445943113008921e-13,1.0000184885462577e-08,-0.9102733749338208,2.9042577526442868,2.906696327304213,342.1057613740828,1.998102544935631e-13,9.99996798482907e-09,1.0000612262733968e-08,-8.476816386924276e-14,0.902996974761208,63.991657346289166,63.97030605015024,5.807403765188963
42,0.6386,1445799333.2872984,170745284.2472514,137224910.421974,307149127.0893011,33542240504.20747,2537135416.590444,1.0001036682324556e-08,3.832565495237197e-13,1.6131703453144265e-13,-2.086050801912368e-13,14.45941403988027,1.6087859541257217,1.609280001666965,1.370866197439878,1.296583389137854e-13,9.757831176281713e-13,6.042099319326937e-13,1.0000198834265885e-08,1.3777464085786824,2.919639626203697,2.9213110910643647,335.4291714412884,-5.962600679597019e-13,9.999965557975422e-09,1.000120204369248e-08,4.343911564625058e-13,3.218352290304051,50.760810903128245,50.73162129652125,5.795970680313983
